bed,bath,acre_lot,zip_code,house_size,location
3.0,2.0,0.12,601,920.0,2351
4.0,2.0,0.08,601,1527.0,2351
2.0,1.0,0.15,795,748.0,2392
4.0,2.0,0.1,731,1800.0,2412
4.0,3.0,0.46,612,2520.0,2423
3.0,1.0,0.2,639,2040.0,2371
3.0,2.0,0.08,731,1050.0,2412
2.0,1.0,0.09,730,1092.0,2412
5.0,3.0,7.46,670,5403.0,2396
3.0,2.0,13.39,662,1106.0,2390
3.0,2.0,0.08,795,1045.0,2392
3.0,2.0,0.1,669,4161.0,2395
5.0,2.0,0.12,641,1620.0,2429
5.0,5.0,0.74,731,2677.0,2412
3.0,2.0,0.08,698,1100.0,2435
4.0,4.0,0.22,680,3450.0,2403
3.0,2.0,0.08,728,1500.0,2412
3.0,2.0,3.88,685,4000.0,2423
6.0,3.0,0.25,610,1230.0,2356
2.0,1.0,0.23,698,621.0,2435
6.0,3.0,0.1,676,3000.0,2404
3.0,1.0,2.0,769,1213.0,2373
3.0,2.0,0.05,698,1118.0,2435
3.0,2.0,0.28,685,1500.0,2423
4.0,3.0,0.3,730,3000.0,2412
4.0,2.0,0.11,656,1300.0,2383
4.0,2.0,0.04,676,1080.0,2400
3.0,2.0,0.69,662,2505.0,2390
6.0,3.0,1.75,766,1943.0,2433
5.0,4.0,0.12,717,1600.0,2412
4.0,2.0,3.08,757,2886.0,2424
1.0,1.0,0.1,730,850.0,2412
3.0,1.0,0.23,698,936.0,2435
3.0,2.0,1.13,676,1928.0,2404
4.0,4.0,4.84,685,3690.0,2423
3.0,4.0,1.94,641,2500.0,2429
4.0,2.0,0.24,670,1800.0,2396
9.0,7.0,0.46,680,3709.0,2403
5.0,3.0,0.16,730,3100.0,2412
6.0,6.0,0.94,624,9297.0,2411
3.0,2.0,0.1,602,600.0,2352
3.0,1.0,0.09,602,900.0,2352
4.0,2.0,0.15,602,3000.0,2352
1.0,1.0,0.26,602,2100.0,2352
2.0,2.0,0.24,602,1138.0,2352
3.0,2.0,0.13,602,1380.0,2352
6.0,4.0,0.23,602,2500.0,2352
2.0,1.0,0.07,602,813.0,2352
5.0,3.0,1.78,602,2962.0,2352
4.0,2.0,0.1,602,1955.0,2352
3.0,2.0,0.08,602,1200.0,2352
6.0,5.0,0.12,602,6000.0,2352
3.0,4.0,2.0,602,1880.0,2352
3.0,2.0,2.96,602,2500.0,2352
7.0,5.0,0.31,602,2775.0,2352
5.0,3.0,8.74,602,5517.0,2352
6.0,5.0,0.1,602,2400.0,2352
3.0,2.0,0.22,603,2070.0,2353
3.0,2.0,0.05,603,1184.0,2353
3.0,2.0,0.22,603,1900.0,2353
3.0,1.0,0.2,603,980.0,2353
4.0,2.0,0.89,603,1408.0,2353
5.0,5.0,0.62,603,8460.0,2353
3.0,2.0,0.11,603,1116.0,2353
4.0,3.0,0.26,603,3734.0,2353
3.0,2.0,0.17,603,1500.0,2353
6.0,3.0,0.49,603,2618.0,2353
4.0,2.0,0.12,603,1760.0,2353
4.0,3.0,0.33,603,2950.0,2353
3.0,2.0,0.21,603,1565.0,2352
4.0,2.0,0.95,603,3468.0,2353
4.0,2.0,10.76,603,547.0,2353
3.0,2.0,0.15,603,2280.0,2353
3.0,4.0,0.2,603,4020.0,2353
6.0,2.0,0.18,603,2035.0,2353
5.0,3.0,0.52,603,3267.0,2353
8.0,3.0,0.19,603,3700.0,2353
5.0,2.0,4.55,606,2156.0,2401
5.0,2.0,5.14,606,2156.0,2401
5.0,2.0,4.86,606,1563.0,2401
3.0,1.0,0.35,606,915.0,2401
8.0,5.0,0.09,660,2000.0,2388
2.0,2.0,0.15,653,1393.0,2381
3.0,2.0,1.75,623,1620.0,2363
3.0,2.0,0.09,680,1760.0,2403
2.0,1.0,4.74,623,1000.0,2363
7.0,4.0,0.11,680,2200.0,2403
3.0,2.0,0.14,680,1200.0,2403
4.0,2.0,0.08,623,3052.0,2363
3.0,1.0,0.08,683,894.0,2420
5.0,5.0,0.08,680,1600.0,2403
3.0,1.0,0.07,683,363.0,2420
12.0,6.0,0.52,623,4800.0,2363
9.0,8.0,0.17,677,3852.0,2414
5.0,4.0,1.8,677,6000.0,2352
4.0,3.0,0.4,667,6500.0,2394
3.0,1.0,0.19,682,778.0,2403
3.0,2.0,0.25,623,2800.0,2363
3.0,2.0,0.15,610,1687.0,2356
2.0,1.0,0.13,610,826.0,2356
5.0,3.0,0.11,610,2327.0,2356
4.0,7.0,0.76,662,4000.0,2390
4.0,3.0,0.21,662,3066.0,2390
6.0,3.0,0.97,662,10000.0,2390
6.0,4.0,16.0,662,3739.0,2390
4.0,2.0,0.49,677,2450.0,2414
1.0,3.0,0.13,612,10000.0,2357
4.0,3.0,0.24,612,3413.0,2357
5.0,2.0,0.49,612,2058.0,2357
1.0,1.0,0.14,612,800.0,2357
6.0,3.0,0.45,612,2900.0,2357
3.0,2.0,0.27,612,1100.0,2357
4.0,2.0,0.13,612,1000.0,2357
7.0,4.0,0.49,612,800.0,2357
6.0,3.0,0.09,612,2472.0,2357
3.0,1.0,0.09,612,1044.0,2357
5.0,3.0,0.08,612,2200.0,2357
3.0,2.0,0.86,612,3500.0,2357
3.0,1.0,0.13,612,1262.0,2357
5.0,2.0,0.42,612,6000.0,2357
3.0,1.0,0.08,612,1009.0,2357
7.0,3.0,0.31,612,2715.0,2357
3.0,3.0,0.19,612,2872.0,2357
3.0,1.0,4.89,612,1028.0,2357
4.0,3.0,0.25,612,1600.0,2357
3.0,2.0,0.29,612,1604.0,2357
8.0,2.0,0.13,612,1500.0,2357
2.0,1.0,0.1,612,680.0,2357
3.0,1.0,0.06,612,750.0,2357
5.0,2.0,0.13,612,1500.0,2357
3.0,3.0,0.24,612,2183.0,2357
3.0,2.0,0.25,612,1000.0,2357
5.0,4.0,0.2,612,2832.0,2357
3.0,2.0,0.25,612,1000.0,2357
4.0,4.0,0.14,612,1500.0,2357
5.0,3.0,0.07,674,1700.0,2400
6.0,4.0,0.37,659,3400.0,2386
3.0,2.0,0.25,687,2500.0,2405
3.0,1.0,0.08,674,921.0,2400
3.0,1.0,0.07,674,800.0,2400
3.0,2.0,0.08,617,1195.0,2359
3.0,2.0,0.07,693,895.0,2431
4.0,2.0,0.25,693,2038.0,2431
4.0,2.0,0.09,727,1100.0,2364
4.0,2.0,0.22,674,2236.0,2400
4.0,3.0,0.21,617,2961.0,2359
3.0,2.0,0.21,627,2400.0,2365
5.0,3.0,0.56,678,3000.0,2413
5.0,3.0,0.22,659,3650.0,2386
5.0,3.0,1.46,687,2366.0,2405
5.0,2.0,0.16,95000,1757.0,2413
3.0,2.0,0.27,617,1150.0,2359
2.0,2.0,0.09,617,955.0,2359
3.0,2.0,0.08,617,1015.0,2359
3.0,2.0,0.09,617,1105.0,2359
3.0,2.0,0.14,617,955.0,2359
2.0,1.0,0.08,646,700.0,2378
3.0,1.0,0.07,949,950.0,2427
3.0,2.0,0.09,953,1000.0,2426
2.0,2.0,0.11,646,800.0,2378
5.0,3.0,0.61,692,1400.0,2430
4.0,2.0,0.19,783,1500.0,2376
2.0,2.0,1.22,719,1500.0,2407
4.0,2.0,0.08,953,1650.0,2426
3.0,3.0,0.19,646,3500.0,2378
4.0,5.0,1.98,646,7000.0,2378
4.0,4.0,0.24,646,2500.0,2378
3.0,3.0,0.3,953,2400.0,2426
3.0,4.0,0.99,646,3500.0,2378
6.0,4.0,0.2,719,1880.0,2407
6.0,4.0,0.1,953,2600.0,2426
4.0,3.0,0.19,646,2500.0,2378
3.0,2.0,0.27,646,2200.0,2378
3.0,3.0,0.52,646,1500.0,2378
4.0,3.0,0.14,646,3500.0,2378
3.0,2.0,0.1,646,1800.0,2378
4.0,3.0,0.12,646,2490.0,2378
3.0,2.0,0.07,692,2100.0,2430
3.0,1.0,0.08,622,900.0,2363
4.0,2.0,0.25,622,2800.0,2363
3.0,2.0,0.2,622,2214.0,2363
4.0,2.0,0.22,622,3328.0,2363
4.0,2.0,0.48,660,1233.0,2388
3.0,2.0,0.12,680,1200.0,2403
5.0,5.0,0.19,623,4000.0,2363
3.0,2.0,0.07,623,1000.0,2363
1.0,1.0,0.12,623,491.0,2363
3.0,3.0,0.27,653,976.0,2381
4.0,2.0,0.12,660,1163.0,2388
3.0,2.0,0.08,682,1175.0,2403
3.0,2.0,0.97,667,1200.0,2394
3.0,2.0,0.12,623,1044.0,2363
3.0,1.0,0.03,623,980.0,2363
4.0,2.0,0.19,623,1400.0,2363
3.0,1.0,0.16,623,936.0,2363
3.0,4.0,0.23,623,3089.0,2363
3.0,4.0,0.09,623,2064.0,2363
2.0,2.0,0.46,623,1242.0,2363
8.0,5.0,0.48,623,8368.0,2363
5.0,4.0,0.22,623,2700.0,2363
6.0,8.0,9.65,623,10244.0,2363
3.0,3.0,0.26,623,2069.0,2363
8.0,7.0,0.43,623,3192.0,2363
5.0,6.0,5.0,623,10000.0,2363
6.0,6.0,7.8,623,8000.0,2363
3.0,1.0,0.04,624,913.0,2411
5.0,3.0,0.49,624,2500.0,2411
3.0,1.0,0.08,624,917.0,2411
3.0,2.0,0.09,685,1120.0,2423
3.0,2.0,0.08,728,1500.0,2412
3.0,3.0,0.23,641,1326.0,2429
3.0,2.0,0.97,659,2111.0,2386
3.0,1.0,0.04,627,1460.0,2365
4.0,3.0,0.24,627,1500.0,2365
3.0,1.0,0.38,627,900.0,2365
3.0,1.0,1.94,627,1400.0,2365
3.0,3.0,0.13,627,1300.0,2365
3.0,1.0,0.1,627,800.0,2365
3.0,2.0,0.1,637,1290.0,2417
8.0,4.0,0.45,637,2852.0,2417
5.0,2.0,1.21,637,1898.0,2417
2.0,1.0,0.2,637,1275.0,2417
3.0,3.0,0.36,637,20132.0,2417
3.0,2.0,1.17,638,1000.0,2371
3.0,2.0,1.48,638,1820.0,2371
3.0,2.0,0.1,638,1100.0,2371
4.0,3.0,2.23,638,3344.0,2371
3.0,1.0,1.16,638,1100.0,2371
3.0,2.0,0.09,638,1092.0,2371
3.0,2.0,0.09,638,1100.0,2371
3.0,2.0,0.97,641,1205.0,2429
3.0,2.0,10.44,641,1251.0,2429
6.0,3.0,28.17,641,5000.0,2429
2.0,1.0,0.22,641,845.0,2429
4.0,2.0,2.91,641,1000.0,2429
5.0,3.0,0.1,641,950.0,2429
4.0,2.0,2.06,641,1100.0,2429
3.0,2.0,0.86,641,1700.0,2429
13.0,4.0,0.2,641,600.0,2429
3.0,1.0,0.28,641,781.0,2429
6.0,3.0,30.0,641,5000.0,2429
3.0,1.0,0.26,641,781.0,2429
4.0,1.0,0.94,641,13818.0,2429
4.0,7.0,0.37,646,7096.0,2378
3.0,3.0,0.24,646,2377.0,2378
3.0,3.0,0.16,646,2000.0,2378
4.0,3.0,0.14,646,2850.0,2378
5.0,3.0,0.14,646,3500.0,2378
3.0,2.0,0.24,646,2000.0,2378
4.0,7.0,0.75,646,7000.0,2378
4.0,3.0,0.25,646,2900.0,2378
4.0,4.0,0.25,646,2900.0,2378
4.0,3.0,0.15,646,2850.0,2378
3.0,4.0,0.22,646,3100.0,2378
4.0,4.0,0.25,646,3509.0,2378
3.0,5.0,0.23,646,3200.0,2378
4.0,5.0,0.21,646,5000.0,2378
4.0,2.0,0.21,646,999.0,2378
4.0,4.0,0.15,646,6703.0,2378
3.0,4.0,0.06,646,2500.0,2378
4.0,4.0,0.07,646,3090.0,2378
3.0,4.0,0.09,646,3914.0,2378
4.0,3.0,0.23,646,3337.0,2378
4.0,4.0,0.23,646,2900.0,2378
3.0,3.0,13.65,646,1942.0,2378
7.0,6.0,0.26,646,4800.0,2378
4.0,2.0,0.51,659,1641.0,2386
4.0,4.0,0.2,685,1760.0,2386
3.0,3.0,2.91,676,2485.0,2404
3.0,1.0,0.15,795,800.0,2392
3.0,1.0,0.1,728,1100.0,2412
4.0,3.0,0.22,678,900.0,2365
3.0,3.0,0.72,731,2460.0,2412
3.0,2.0,0.08,795,1084.0,2392
4.0,2.0,0.35,795,1918.0,2392
4.0,3.0,5.05,730,1520.0,2412
4.0,1.0,0.8,731,921.0,2412
3.0,1.0,0.09,795,870.0,2392
3.0,2.0,0.22,685,1134.0,2423
4.0,2.0,0.15,669,1597.0,2395
3.0,2.0,0.08,731,1250.0,2412
5.0,2.0,0.25,728,2283.0,2412
3.0,2.0,0.09,664,1100.0,2391
3.0,2.0,0.04,731,1547.0,2412
4.0,2.0,0.2,769,1700.0,2373
3.0,2.0,0.04,731,980.0,2412
3.0,1.0,0.12,659,930.0,2386
3.0,1.0,0.68,730,905.0,2412
3.0,1.0,0.04,716,1025.0,2412
2.0,2.0,0.25,730,1004.0,2412
6.0,5.0,0.27,717,3953.0,2412
3.0,1.0,0.11,669,870.0,2395
3.0,2.0,0.11,698,1000.0,2435
4.0,1.0,0.11,731,1562.0,2412
3.0,2.0,0.25,685,875.0,2423
5.0,3.0,2.43,795,2625.0,2392
4.0,2.0,0.09,976,1700.0,2428
8.0,7.0,0.09,730,4036.0,2412
3.0,2.0,0.28,603,2000.0,2353
3.0,2.0,0.22,603,1895.0,2353
6.0,2.0,0.11,660,2914.0,2388
3.0,2.0,0.12,677,2000.0,2414
3.0,2.0,0.1,660,1100.0,2388
3.0,2.0,0.19,662,1800.0,2390
3.0,3.0,0.22,612,2673.0,2357
4.0,2.0,0.22,612,2760.0,2357
3.0,1.0,0.08,612,785.0,2357
3.0,1.0,0.25,612,1403.0,2357
3.0,2.0,0.08,612,1050.0,2357
4.0,2.0,0.2,662,1933.0,2390
3.0,2.0,0.08,674,1086.0,2400
4.0,2.0,0.11,693,1688.0,2431
4.0,2.0,0.11,659,2327.0,2386
3.0,1.0,0.09,693,1000.0,2431
7.0,3.0,0.09,949,1192.0,2378
2.0,1.0,0.15,693,1000.0,2431
6.0,3.0,4.94,692,3000.0,2430
3.0,1.0,0.15,783,934.0,2376
3.0,1.0,0.07,962,1025.0,2430
3.0,2.0,0.08,653,1066.0,2381
6.0,3.0,0.13,680,2110.0,2403
3.0,2.0,0.1,623,1708.0,2363
4.0,2.0,3.75,667,1473.0,2394
3.0,1.0,0.04,680,975.0,2403
7.0,3.0,0.1,680,1000.0,2403
3.0,2.0,0.16,623,1100.0,2363
3.0,2.0,0.15,623,1045.0,2363
4.0,3.0,0.25,623,1622.0,2363
6.0,6.0,0.25,623,2500.0,2363
4.0,5.0,0.51,623,2422.0,2363
4.0,2.0,0.12,698,1800.0,2435
3.0,3.0,0.26,659,3227.0,2386
5.0,3.0,0.16,662,1886.0,2390
3.0,1.0,0.07,795,750.0,2392
3.0,1.0,0.74,669,2500.0,2395
6.0,3.0,1.4,777,2392.0,2393
3.0,1.0,0.27,669,1070.0,2395
2.0,2.0,0.05,669,1173.0,2395
4.0,3.0,0.18,685,2000.0,2423
3.0,3.0,0.29,656,1591.0,2383
3.0,2.0,0.05,731,900.0,2412
4.0,1.0,0.09,698,1087.0,2435
5.0,3.0,19.44,669,3907.0,2395
4.0,3.0,0.4,682,2711.0,2403
3.0,1.0,0.05,646,816.0,2378
5.0,2.0,0.05,646,1600.0,2378
7.0,5.0,0.1,646,3870.0,2378
3.0,3.0,0.21,646,2462.0,2378
4.0,2.0,0.12,646,2381.0,2378
6.0,7.0,0.36,646,6500.0,2378
5.0,5.0,0.02,646,4850.0,2378
6.0,7.0,0.25,646,5500.0,2378
4.0,4.0,0.13,646,2800.0,2378
2.0,1.0,0.19,646,834.0,2378
6.0,7.0,0.3,646,5073.0,2378
7.0,8.0,0.9,646,10000.0,2378
6.0,9.0,0.64,646,6554.0,2378
4.0,6.0,0.22,646,4400.0,2378
5.0,7.0,0.3,646,5000.0,2378
4.0,4.0,0.32,646,2800.0,2378
5.0,7.0,0.55,646,6000.0,2378
4.0,6.0,0.24,646,4414.0,2378
6.0,8.0,0.55,646,6398.0,2378
4.0,5.0,0.25,646,5000.0,2378
4.0,4.0,0.24,646,3015.0,2378
3.0,4.0,0.18,646,2900.0,2378
4.0,3.0,0.02,646,2900.0,2378
3.0,2.0,0.09,646,1380.0,2378
5.0,5.0,0.25,646,4200.0,2378
3.0,4.0,0.22,646,3500.0,2378
4.0,2.0,0.11,646,1820.0,2378
3.0,2.0,0.23,646,1298.0,2378
4.0,6.0,0.25,646,4200.0,2378
5.0,4.0,0.24,646,4791.0,2378
3.0,2.0,0.06,646,1200.0,2378
3.0,3.0,0.25,682,2100.0,2403
3.0,2.0,0.43,677,1500.0,2414
4.0,2.0,0.04,680,960.0,2403
2.0,3.0,0.03,653,1823.0,2381
2.0,1.0,0.97,680,1475.0,2403
3.0,2.0,0.29,682,2031.0,2403
4.0,2.0,0.05,680,563.0,2403
3.0,1.0,0.22,680,746.0,2403
7.0,4.0,0.11,678,2500.0,2413
3.0,1.0,0.23,680,962.0,2403
5.0,2.0,0.32,680,1500.0,2403
2.0,1.0,0.05,716,714.0,2412
2.0,1.0,0.12,653,612.0,2381
2.0,1.0,0.12,660,811.0,2388
2.0,1.0,0.11,659,784.0,2386
4.0,2.0,0.09,682,1050.0,2403
3.0,1.0,0.52,685,1200.0,2423
3.0,1.0,0.27,678,950.0,2413
3.0,1.0,0.06,653,1503.0,2381
2.0,2.0,0.17,680,850.0,2403
3.0,2.0,2.2,677,2000.0,2414
5.0,5.0,0.31,682,4387.0,2403
7.0,4.0,0.08,670,3174.0,2396
2.0,1.0,2.72,685,870.0,2423
4.0,3.0,2.64,659,1578.0,2386
4.0,2.0,0.48,660,1233.0,2388
6.0,2.0,0.1,676,2002.0,2404
3.0,2.0,0.1,667,900.0,2394
3.0,3.0,1.94,683,2410.0,2420
5.0,3.0,0.18,680,4200.0,2403
5.0,3.0,0.23,653,4046.0,2381
6.0,6.0,45.0,677,10000.0,2414
8.0,3.0,0.97,685,2250.0,2423
2.0,1.0,0.37,731,803.0,2412
3.0,2.0,0.54,730,1106.0,2412
3.0,1.0,0.83,731,599.0,2412
3.0,1.0,0.22,698,1500.0,2435
3.0,1.0,0.05,730,900.0,2412
3.0,1.0,0.35,669,1427.0,2395
3.0,1.0,0.32,682,1300.0,2403
4.0,3.0,0.59,680,2374.0,2403
3.0,3.0,0.23,676,2400.0,2404
3.0,3.0,0.31,731,3806.0,2412
3.0,3.0,0.24,662,2482.0,2390
3.0,2.0,0.25,683,1300.0,2420
4.0,2.0,0.08,731,1460.0,2412
3.0,1.0,0.12,680,1000.0,2403
7.0,4.0,0.39,682,17198.0,2403
3.0,2.0,0.42,685,2100.0,2423
4.0,3.0,0.12,680,2300.0,2403
3.0,2.0,0.21,659,3515.0,2386
4.0,3.0,0.15,667,1857.0,2394
4.0,2.0,0.06,728,2268.0,2412
4.0,2.0,0.09,728,2710.0,2412
6.0,3.0,0.07,682,1858.0,2403
4.0,2.0,0.23,659,1384.0,2386
3.0,3.0,0.52,682,2000.0,2403
5.0,7.0,0.24,677,4500.0,2414
6.0,5.0,0.14,677,3625.0,2414
2.0,1.0,0.07,677,1000.0,2414
3.0,1.0,0.36,677,1214.0,2414
12.0,4.0,0.12,677,3000.0,2414
5.0,3.0,0.39,716,3100.0,2412
3.0,1.0,0.17,715,1080.0,2392
6.0,4.0,0.79,720,2345.0,2409
2.0,1.0,0.09,949,1035.0,2427
6.0,2.0,0.03,674,1200.0,2400
3.0,2.0,0.09,674,2417.0,2400
7.0,4.0,0.69,972,2106.0,2426
4.0,2.0,0.11,692,2500.0,2430
3.0,2.0,0.09,674,951.0,2400
5.0,3.0,0.07,674,1700.0,2400
2.0,1.0,0.13,692,1694.0,2430
4.0,2.0,0.15,692,6458.0,2430
5.0,3.0,0.21,692,3080.0,2430
3.0,1.0,0.04,674,595.0,2400
3.0,2.0,0.07,692,800.0,2430
3.0,1.0,0.16,783,832.0,2376
3.0,2.0,0.26,953,1000.0,2426
3.0,2.0,0.1,613,1211.0,2357
3.0,1.0,0.08,693,770.0,2431
3.0,3.0,0.36,794,1015.0,2360
3.0,1.0,0.15,953,2092.0,2426
4.0,2.0,0.15,949,1970.0,2427
4.0,3.0,0.15,674,568.0,2400
6.0,2.0,0.39,725,2329.0,2373
3.0,1.0,0.49,692,945.0,2430
2.0,1.0,0.19,692,959.0,2431
4.0,3.0,0.25,953,1490.0,2426
6.0,3.0,0.08,693,1928.0,2431
5.0,2.0,0.09,687,1414.0,2405
3.0,1.0,0.08,769,1009.0,2373
2.0,1.0,0.02,674,896.0,2400
3.0,2.0,1.15,765,1326.0,2373
7.0,2.0,0.03,949,1130.0,2427
2.0,1.0,0.03,674,784.0,2400
3.0,2.0,0.1,738,1150.0,2379
6.0,3.0,0.08,693,1900.0,2431
3.0,1.0,0.18,953,750.0,2426
3.0,1.0,0.07,650,800.0,2380
3.0,2.0,0.15,782,996.0,2374
3.0,2.0,0.21,674,954.0,2400
4.0,2.0,0.13,692,1784.0,2430
3.0,2.0,0.11,693,900.0,2431
3.0,2.0,0.07,953,1093.0,2426
5.0,4.0,0.26,692,2817.0,2430
4.0,2.0,0.15,951,1600.0,2427
6.0,2.0,8.42,693,1170.0,2431
2.0,2.0,0.38,692,1000.0,2430
2.0,2.0,0.57,783,800.0,2376
3.0,2.0,0.42,692,1000.0,2430
3.0,2.0,0.09,687,1512.0,2405
4.0,2.0,0.08,949,1800.0,2427
4.0,3.0,0.12,693,1335.0,2431
6.0,5.0,0.24,693,2800.0,2431
4.0,2.0,0.11,953,1889.0,2427
3.0,1.0,0.17,693,824.0,2431
6.0,3.0,0.18,693,2371.0,2431
3.0,2.0,0.13,719,981.0,2407
3.0,1.0,0.07,783,742.0,2376
3.0,1.0,0.13,783,1103.0,2376
2.0,1.0,0.23,719,620.0,2407
4.0,2.0,0.44,953,1328.0,2426
4.0,4.0,1.11,720,7336.0,2409
3.0,1.0,1.12,694,850.0,2430
3.0,2.0,0.11,692,1626.0,2430
6.0,3.0,0.07,659,1819.0,2386
3.0,1.0,0.07,757,704.0,2424
3.0,3.0,0.02,757,1372.0,2424
3.0,1.0,0.08,757,683.0,2424
3.0,1.0,0.18,757,1020.0,2424
3.0,2.0,0.18,757,1166.0,2424
4.0,2.0,0.12,605,1800.0,2353
3.0,2.0,0.13,605,1123.0,2353
3.0,1.0,0.08,662,939.0,2390
2.0,2.0,0.26,677,1352.0,2414
3.0,3.0,0.88,677,1729.0,2414
3.0,1.0,0.08,662,840.0,2390
3.0,2.0,0.24,653,1462.0,2381
3.0,1.0,0.07,660,842.0,2388
3.0,3.0,0.17,662,4544.0,2390
2.0,1.0,0.07,662,700.0,2390
5.0,4.0,0.1,662,2500.0,2390
3.0,3.0,8.0,662,1458.0,2390
6.0,5.0,0.09,662,1500.0,2390
2.0,2.0,0.82,662,1671.0,2390
9.0,5.0,0.14,662,4500.0,2390
6.0,4.0,1.5,662,3739.0,2390
4.0,3.0,0.31,674,2200.0,2400
4.0,5.0,0.25,674,2700.0,2400
5.0,3.0,0.28,674,3000.0,2400
2.0,2.0,0.02,677,1183.0,2414
2.0,2.0,0.02,677,1183.0,2414
5.0,4.0,0.25,677,2500.0,2414
8.0,5.0,0.27,677,6345.0,2414
3.0,2.0,4.37,678,1164.0,2413
4.0,3.0,0.78,678,3154.0,2413
4.0,3.0,0.12,680,2143.0,2403
6.0,4.0,0.1,680,2130.0,2403
3.0,2.0,0.59,680,2000.0,2403
4.0,5.0,0.17,680,2081.0,2403
4.0,2.0,0.08,680,2214.0,2403
4.0,1.0,0.13,680,1400.0,2403
6.0,2.0,1.46,705,2026.0,2355
5.0,3.0,0.03,705,2400.0,2355
6.0,4.0,0.23,705,2187.0,2355
3.0,2.0,0.22,705,800.0,2355
3.0,2.0,0.09,705,900.0,2355
6.0,6.0,1.07,719,1830.0,2407
3.0,1.0,0.11,794,879.0,2360
4.0,2.0,0.12,682,1300.0,2403
3.0,2.0,1.21,685,1100.0,2423
5.0,2.0,0.25,687,1620.0,2405
3.0,2.0,0.15,688,1108.0,2357
3.0,2.0,0.44,688,1200.0,2418
3.0,2.0,0.07,692,1150.0,2430
3.0,3.0,0.11,692,1626.0,2430
4.0,5.0,0.72,692,5460.0,2430
3.0,2.0,0.03,692,1564.0,2430
7.0,6.0,0.25,692,4072.0,2430
3.0,2.0,0.09,692,1007.0,2368
3.0,3.0,0.49,692,3600.0,2430
4.0,2.0,0.09,692,1639.0,2368
4.0,3.0,0.11,692,2800.0,2430
4.0,2.0,0.11,693,2030.0,2426
3.0,2.0,0.38,693,982.0,2431
4.0,3.0,0.14,693,1960.0,2431
3.0,4.0,0.03,693,1605.0,2431
4.0,3.0,0.1,693,1975.0,2431
6.0,6.0,0.45,683,4500.0,2420
4.0,2.0,0.09,694,1116.0,2431
3.0,2.0,0.07,698,1100.0,2421
5.0,2.0,0.1,965,1655.0,2384
5.0,3.0,0.07,921,2100.0,2421
4.0,2.0,0.09,784,852.0,2382
3.0,2.0,0.09,969,1250.0,2384
3.0,2.0,0.1,725,1086.0,2364
4.0,2.0,0.07,924,1224.0,2421
3.0,2.0,0.33,794,1190.0,2385
4.0,3.0,0.3,926,1500.0,2421
4.0,2.0,0.1,703,3138.0,2354
3.0,1.0,0.06,727,850.0,2364
3.0,2.0,0.14,754,2330.0,2422
3.0,2.0,0.42,778,2000.0,2385
3.0,2.0,0.08,725,1150.0,2364
6.0,4.0,0.37,956,2451.0,2361
7.0,5.0,0.08,920,2000.0,2421
3.0,2.0,0.07,956,750.0,2361
4.0,2.0,0.16,927,2528.0,2384
4.0,2.0,0.1,926,1321.0,2421
3.0,1.0,0.09,969,1000.0,2384
4.0,3.0,0.05,926,1312.0,2421
7.0,6.0,1.08,969,7246.0,2421
4.0,2.0,0.31,737,3300.0,2369
6.0,7.0,0.26,966,7037.0,2384
2.0,1.0,0.1,956,730.0,2361
5.0,5.0,0.32,927,6000.0,2421
3.0,2.0,0.14,921,1569.0,2421
4.0,2.0,0.15,966,2000.0,2384
4.0,3.0,0.16,969,3540.0,2384
5.0,4.0,0.25,926,3123.0,2421
3.0,2.0,0.09,705,900.0,2355
4.0,3.0,0.27,705,2500.0,2355
4.0,1.0,0.14,956,1100.0,2361
2.0,2.0,0.04,784,749.0,2382
